id,total_len,nb_groups,len_groups,max_len_group
Tönnies Holding,94,11,"[4, 4, 4, 7, 16, 16, 12, 5, 5, 11, 10]",16
Trevira,453,31,"[5, 9, 9, 12, 9, 5, 9, 4, 6, 8, 4, 22, 14, 16, 18, 4, 4, 6, 26, 26, 24, 22, 35, 28, 4, 4, 4, 44, 36, 14, 22]",44
Verkehrsgesellschaft Mecklenburg-Vorpommern,294,26,"[3, 3, 2, 2, 3, 3, 3, 3, 2, 29, 33, 33, 33, 33, 33, 3, 2, 3, 2, 2, 21, 5, 9, 11, 11, 7]",33
UEBE Medical,288,36,"[4, 5, 11, 22, 22, 4, 4, 12, 4, 4, 4, 8, 5, 5, 8, 14, 6, 10, 4, 6, 6, 4, 9, 10, 11, 10, 14, 14, 9, 8, 8, 6, 6, 4, 4, 3]",22
Vapiano SE,383,42,"[31, 10, 4, 4, 22, 9, 4, 28, 26, 35, 20, 6, 4, 4, 28, 32, 4, 4, 9, 3, 3, 7, 5, 4, 4, 4, 4, 7, 5, 3, 7, 7, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4]",35
Vilmorin,213,24,"[19, 11, 6, 5, 4, 4, 9, 25, 9, 10, 11, 6, 8, 5, 4, 11, 10, 5, 14, 8, 8, 8, 8, 5]",25
Warema Renkhoff SE,173,19,"[8, 8, 8, 8, 8, 14, 4, 4, 4, 8, 14, 13, 19, 13, 8, 8, 8, 8, 8]",19
Webasto SE,127,14,"[21, 8, 5, 6, 7, 6, 6, 6, 14, 8, 10, 10, 10, 10]",21
Volke-Unternehmensgruppe für technische Entwicklung,528,29,"[9, 6, 26, 21, 36, 43, 5, 26, 10, 19, 20, 20, 22, 26, 26, 26, 10, 10, 18, 22, 26, 18, 10, 17, 20, 10, 8, 10, 8]",43
WESTFA,63,7,"[27, 13, 5, 5, 5, 6, 2]",27
WebID Solutions,269,39,"[23, 5, 8, 10, 5, 10, 10, 8, 4, 6, 6, 8, 6, 3, 4, 8, 8, 9, 14, 10, 9, 5, 5, 6, 6, 3, 6, 4, 4, 8, 8, 6, 6, 4, 4, 4, 4, 6, 6]",23
Wiesheu,85,7,"[15, 4, 12, 12, 12, 12, 18]",18
WILA Lichttechnik,31,3,"[12, 14, 5]",14
Weidmüller,183,21,"[8, 5, 5, 13, 13, 4, 8, 8, 3, 5, 15, 3, 3, 7, 10, 10, 16, 14, 4, 4, 25]",25
WILO SE,32,5,"[4, 6, 4, 14, 4]",14
Wisag Group,97,9,"[7, 13, 7, 18, 14, 5, 13, 14, 6]",18
Wuppermann AG,156,16,"[15, 5, 14, 12, 11, 19, 13, 13, 9, 9, 8, 10, 6, 4, 4, 4]",19
Wilh. Werhahn KG,393,39,"[8, 9, 7, 16, 16, 19, 10, 16, 13, 8, 9, 6, 20, 4, 6, 4, 4, 15, 15, 9, 8, 8, 16, 24, 10, 16, 12, 8, 8, 11, 8, 12, 6, 6, 6, 6, 6, 4, 4]",24
Württembergische Versicherung,495,58,"[5, 11, 7, 7, 4, 4, 4, 11, 8, 8, 8, 11, 19, 11, 8, 31, 31, 14, 9, 5, 6, 6, 6, 6, 6, 9, 6, 4, 9, 6, 8, 18, 6, 4, 4, 14, 11, 11, 11, 8, 8, 8, 8, 8, 6, 6, 4, 4, 6, 6, 6, 4, 10, 10, 10, 4, 8, 4]",31
Württembergische Krankenversicherung,495,58,"[5, 11, 7, 7, 4, 4, 4, 11, 8, 8, 8, 11, 19, 11, 8, 31, 31, 14, 9, 5, 6, 6, 6, 6, 6, 9, 6, 4, 9, 6, 8, 18, 6, 4, 4, 14, 11, 11, 11, 8, 8, 8, 8, 8, 6, 6, 4, 4, 6, 6, 6, 4, 10, 10, 10, 4, 8, 4]",31
X-Fab,283,42,"[9, 8, 11, 5, 7, 7, 7, 7, 6, 5, 5, 3, 3, 5, 7, 7, 5, 5, 5, 7, 6, 6, 6, 8, 6, 6, 3, 4, 8, 4, 8, 8, 7, 9, 9, 15, 9, 7, 5, 7, 9, 9]",15
Zalando SE,137,12,"[16, 5, 14, 9, 10, 9, 9, 7, 12, 20, 14, 12]",20
Ziehl-Abegg SE,163,29,"[10, 3, 3, 7, 3, 3, 2, 3, 3, 3, 3, 6, 10, 10, 13, 12, 8, 4, 12, 6, 6, 7, 4, 3, 3, 4, 4, 5, 3]",13
ZF Sachs,337,17,"[107, 107, 7, 18, 7, 7, 5, 11, 9, 11, 4, 6, 13, 4, 9, 5, 7]",107
ÖRAG,212,20,"[17, 12, 13, 5, 16, 5, 13, 13, 9, 11, 13, 9, 13, 9, 5, 10, 8, 8, 13, 10]",17
