filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_03_2,8,-3.7285757,-15.344374,1.3340249,2.1639662,2.6617594,-0.07325533,-0.81899816,0.24541965,-0.46058777,-0.06280221,-0.17590037,0.16056599,0.11624039,0.0066907513,-0.020822588,0,1.0,1.0,236,116,4,250,187,0,0.0426868216321676,0.057281864692679776
L_7sins_03_2,9,-5.179986,-13.11394,1.704623,1.7064757,4.328587,1.001314,4.455525,-0.47880074,0.21354152,-0.37565818,-0.53538775,0.051043797,-0.014046468,-1.6116008,0.3455538,0,1.0,1.0,236,116,4,250,187,0,0.04929316066147997,0.05690546889158486
L_7sins_04,0,0.9573255,2.3669765,12.63151,1.1102645,1.9807695,-0.6290269,-0.9011536,-0.3038798,0.28631103,-0.18892755,-0.70359164,-0.2942263,-0.48132938,0.34170958,0.3231742,0,1.0,1.0,197,0,123,0,0,0,0.08692135604887272,0.18934343576765794
L_7sins_04,1,3.4966073,-0.26340747,0.98364353,-3.2927234,-2.0161426,1.7272215,-1.3846059,-0.025651077,-0.5899905,-1.2358451,-1.0260164,-0.15640914,-0.38543385,-0.19897227,-0.12364924,0,1.0,1.0,197,0,123,0,0,0,0.032318017552916835,0.17664324217537328
L_7sins_04,10,-2.5284443,-4.21892,5.6774874,-2.0618541,-0.5255081,2.8980684,-2.0241683,0.7529,-0.12074489,-1.1347789,-0.8801648,-0.53659445,-0.6160665,-0.1284526,-0.20676929,0,1.0,1.0,255,255,255,0,0,0,0.10622956461882639,0.2544520644596844
L_7sins_04,11,2.6067376,-3.9382603,0.49177116,-3.2687747,0.851997,1.6112022,2.113865,-0.46270683,0.3499224,0.90372896,0.24094482,-0.22156058,-0.14026448,-0.4378884,0.009227262,0,1.0,1.0,197,0,123,0,0,0,0.022164859748752357,0.054892332006887125
L_7sins_04,12,-3.2346976,-9.9664755,3.8277853,-0.9355391,0.780998,0.25712496,-1.1255475,0.23599143,0.120007835,0.4217309,0.12543239,-0.26214758,0.12569533,-0.047070898,-0.19695136,0,1.0,1.0,197,0,123,0,0,0,0.011409395973154355,0.055851889481556755
L_7sins_04,13,-3.3492367,-8.005689,2.2611256,-1.5694424,2.1736503,1.9361515,3.34142,-1.0012119,0.4930525,0.7756149,-0.16529107,-0.29488662,-0.11073602,-0.67784,0.052878685,0,1.0,1.0,197,0,123,0,0,0,0.02157993676278846,0.04044252532949503
L_7sins_04,14,-2.2204542,-12.659738,7.1895285,3.9087665,2.2321222,-0.6330322,-0.16562612,-1.1623929,2.0587003,-0.63620216,-0.2844056,0.25744107,-0.5031976,-0.23236883,-0.28307217,0,1.0,1.0,197,0,123,0,0,0,0.02345551540182412,0.05398921908954972
L_7sins_04,15,8.436293,-2.1504517,8.507868,1.0852027,2.6302686,-1.2233083,-0.8803428,-1.6781564,0.8282388,-0.6078687,-0.4616711,0.12157715,-0.6946929,0.39830333,0.12502047,0,1.0,1.0,197,0,123,0,0,0,0.018516658087240918,0.0403014139361619
L_7sins_04,16,-0.6825417,-10.138194,-7.9296994,-1.8196696,2.0132828,-0.15110978,-0.20875642,0.566233,0.57977605,-0.55104345,0.80599284,-0.1039784,0.46504852,-0.07196553,-0.24016733,0,1.0,1.0,197,0,123,0,0,0,0.022715705129854772,0.04044252532949503
L_7sins_04,17,8.718501,-5.004468,3.8514452,-0.90968806,0.80834943,-0.5885871,-0.94241893,-0.47846815,0.6263055,0.44928423,-0.012316482,0.056746997,0.14929335,0.029878575,-0.19534056,0,1.0,1.0,197,0,123,0,0,0,0.02137325761486828,0.04038608077216168
L_7sins_04,18,9.254749,-9.018278,0.47481275,-0.45848274,1.3626002,-0.26511574,-0.9653264,0.25189558,0.22078481,0.2512093,0.01443737,-0.35775584,0.37142253,-0.0154432375,-0.16990565,0,1.0,1.0,197,0,123,0,0,0,0.01140939597315455,0.055851889481556755
L_7sins_04,19,10.958699,-5.6076574,-0.9987251,-0.5780973,2.6692657,1.2005669,3.4026928,-1.0195048,0.40773427,0.8213972,-0.6045489,-0.42338964,-0.13442843,-0.4583915,0.007303805,0,1.0,1.0,197,0,123,0,0,0,0.021579936762788115,0.04044252532949503
L_7sins_04,2,13.530691,5.547275,5.075594,1.9777467,-0.27852985,1.2205752,-1.045096,-0.32222667,-0.24135847,0.73563427,0.17846395,0.42765626,1.129291,-0.079187706,-0.47207087,0,1.0,1.0,197,0,123,0,0,0,0.10034417484081913,0.18525103716874097
L_7sins_04,20,10.938162,-0.45627782,4.464033,-0.6410783,0.37903002,-0.26570028,-0.83277315,-0.5095434,0.11362929,0.43019706,0.13992202,0.104308784,0.26767194,0.07404789,-0.20942377,0,1.0,1.0,197,0,123,0,0,0,0.02139111605277602,0.0394829678548254
L_7sins_04,21,1.4016234,-7.772426,-0.8938623,-2.6184762,0.9740435,1.6310686,2.16723,-0.28267038,0.2153003,0.7596553,-0.07703208,-0.16420977,-0.115219384,0.097499736,0.012562388,0,1.0,1.0,197,0,123,0,0,0,0.02214765100671171,0.056134112268224616
L_7sins_04,22,10.05228,-9.4298315,5.6566114,4.916608,3.0790727,-2.3811266,0.52409303,-1.8016537,1.8713577,-1.245541,-0.3629262,0.23845908,-0.7442282,0.32848334,0.2973411,0,1.0,1.0,197,0,123,0,0,0,0.01831010153157841,0.0551745547935537
